# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000     2105.168     2968.918
       0.011        0.000     2105.168     2968.918
       0.021        0.000     2105.168     2968.918
       0.032        0.000     2105.168     2968.918
       0.042        0.000     2105.168     2968.918
       0.053        0.000     2105.168     2968.918
       0.064        0.000     2105.168     2968.918
       0.075        0.000     2105.168     2968.918
       0.086        0.000     2105.168     2968.918
       0.097        0.000     2105.168     2968.918
       0.108        0.000     2105.168     2968.918
       0.119        0.000     2105.168     2968.918
       0.129        0.000     2105.168     2968.918
       0.140        0.000     2105.168     2968.918
       0.151        0.000     2105.168     2968.918
       0.162        0.000     2105.168     2968.918
       0.173        0.000     2105.168     2968.918
       0.184        0.000     2105.168     2968.918
       0.195        0.000     2105.168     2968.918
       0.206        0.000     2105.168     2968.918
       0.217        0.000     2105.168     2968.918
       0.228        0.000     2105.168     2968.918
       0.239        0.000     2105.168     2968.918
       0.249        0.000     2105.168     2968.918
       0.260        0.000     2105.168     2968.918
       0.271        0.000     2105.168     2968.918
       0.282        0.000     2105.168     2968.918
       0.293        0.000     2105.168     2968.918
       0.304        0.000     2105.168     2968.918
       0.315        0.000     2105.168     2968.918
       0.326        0.000     2105.168     2968.918
       0.337        0.000     2105.168     2968.918
       0.348        0.000     2105.168     2968.918
       0.359        0.000     2105.168     2968.918
       0.370        0.000     2105.168     2968.918
       0.380        0.000     2105.168     2968.918
       0.391        0.000     2105.168     2968.918
       0.402        0.000     2105.168     2968.918
       0.413        0.000     2105.168     2968.918
       0.424        0.000     2105.168     2968.918
       0.435        0.000     2105.168     2968.918
       0.446        0.000     2105.168     2968.918
       0.457        0.000     2105.168     2968.918
       0.468        0.000     2105.168     2968.918
       0.478        0.000     2105.168     2968.918
       0.489        0.000     2105.168     2968.918
       0.500        0.000     2105.168     2968.918
       0.511        0.000     2105.168     2968.918
       0.522        0.000     2105.168     2968.918
       0.533        0.000     2105.168     2968.918
       0.544        0.000     2105.168     2968.918
       0.555        0.000     2105.168     2968.918
       0.566        0.000     2105.168     2968.918
       0.577        0.000     2105.168     2968.918
       0.588        0.000     2105.168     2968.918
       0.599        0.000     2105.168     2968.918
       0.609        0.000     2105.168     2968.918
       0.620        0.000     2105.168     2968.918
       0.631        0.000     2105.168     2968.918
       0.642        0.000     2105.168     2968.918
       0.653       92.500     2105.168     2968.918
       0.664        0.000     2105.168     2968.918
       0.675        0.000     2105.168     2968.918
       0.686        0.000     2105.168     2968.918
       0.696        0.000     2105.168     2968.918
       0.707        0.000     2105.168     2968.918
       0.718       91.900     2105.168     2968.918
       0.729        0.000     2105.168     2968.918
       0.740        0.000     2105.168     2968.918
       0.751        0.000     2105.168     2968.918
       0.762        0.000     2105.168     2968.918
       0.773        0.000     2105.168     2968.918
       0.784        0.000     2105.168     2968.918
       0.795        0.000     2105.168     2968.918
       0.806        0.000     2105.168     2968.918
       0.817        0.000     2105.168     2968.918
       0.828        0.000     2105.168     2968.918
       0.839        0.000     2105.168     2968.918
       0.850        0.000     2105.168     2968.918
       0.860        0.000     2105.168     2968.918
       0.871        0.000     2105.168     2968.918
       0.882        0.000     2105.168     2968.918
       0.893        0.000     2105.168     2968.918
       0.904        0.000     2105.168     2968.918
       0.915        0.000     2105.168     2968.918
       0.926        0.000     2105.168     2968.918
       0.937        0.000     2105.168     2968.918
       0.947        0.000     2105.168     2968.918
       0.958        0.000     2105.168     2968.918
       0.969        0.000     2105.168     2968.918
       0.980        0.000     2105.168     2968.918
       0.991        0.000     2105.168     2968.918
       1.002        0.000     2105.168     2968.918
       1.013        0.000     2105.168     2968.918
       1.024        0.000     2105.168     2968.918
       1.035        0.000     2105.168     2968.918
       1.046        0.000     2105.168     2968.918
       1.057        0.000     2105.168     2968.918
       1.067        0.000     2105.168     2968.918
       1.078        0.000     2105.168     2968.918
       1.089        0.000     2105.168     2968.918
       1.100        0.000     2105.168     2968.918
       1.111        0.000     2105.168     2968.918
       1.122        0.000     2105.168     2968.918
       1.133        0.000     2105.168     2968.918
       1.144        0.000     2105.168     2968.918
       1.155        0.000     2105.168     2968.918
       1.166        0.000     2105.168     2968.918
       1.177        0.000     2105.168     2968.918
       1.187        0.000     2105.168     2968.918
       1.198        0.000     2105.168     2968.918
       1.209        0.000     2105.168     2968.918
       1.220        0.000     2105.168     2968.918
       1.231        0.000     2105.168     2968.918
       1.242        0.000     2105.168     2968.918
       1.253        0.000     2105.168     2968.918
       1.264        0.000     2105.168     2968.918
       1.275        0.000     2105.168     2968.918
       1.286        0.000     2105.168     2968.918
       1.297        0.000     2105.168     2968.918
       1.307        0.000     2105.168     2968.918
       1.318        0.000     2105.168     2968.918
       1.329        0.000     2105.168     2968.918
       1.340        0.000     2105.168     2968.918
       1.351        0.000     2105.168     2968.918
       1.362        0.000     2105.168     2968.918
       1.373        0.000     2105.168     2968.918
       1.384        0.000     2105.168     2968.918
       1.395        0.000     2105.168     2968.918
       1.406        0.000     2105.168     2968.918
